,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
376,870,313477,Paolo Ghiglione,Genua Cfc,Paolo Ghiglione Genua Cfc,9070,GHIGLIONE P.,frosinone,GHIGLIONE P. frosinone,True
377,871,315865,Andrea Pinamonti,Genua Cfc,Andrea Pinamonti Genua Cfc,8708,PINAMONTI A.,inter,PINAMONTI A. inter,True
379,873,340151,Andrea Favilli,Genua Cfc,Andrea Favilli Genua Cfc,9050,FAVILLI A.,genoa,FAVILLI A. genoa,True
382,876,34784,Lasse Schone,Genua Cfc,Lasse Schone Genua Cfc,9907,SCHONE L.,genoa,SCHONE L. genoa,True
385,879,46105,Ivan Radovanovic,Genua Cfc,Ivan Radovanovic Genua Cfc,4060,RADOVANOVIC,atalanta,RADOVANOVIC atalanta,True
386,880,587458,Kevin Agudelo,Genua Cfc,Kevin Agudelo Genua Cfc,9427,AGUDELO K.,fiorentina,AGUDELO K. fiorentina,True
389,888,173859,Davide Zappacosta,Genua Cfc,Davide Zappacosta Genua Cfc,7104,ZAPPACOSTA D,atalanta,ZAPPACOSTA D atalanta,True
390,890,205940,Marko Pjaca,Genua Cfc,Marko Pjaca Genua Cfc,8121,PJACA M.,juventus,PJACA M. juventus,True
391,895,272638,Jerome Onguene,Genua Cfc,Jerome Onguene Genua Cfc,10425,ONGUENE J.,genoa,ONGUENE J. genoa,True
392,897,309393,Lennart Czyborra,Genua Cfc,Lennart Czyborra Genua Cfc,9555,CZYBORRA L.,atalanta,CZYBORRA L. atalanta,True
393,899,315862,Filippo Melegoni,Genua Cfc,Filippo Melegoni Genua Cfc,8632,MELEGONI F.,atalanta,MELEGONI F. atalanta,True
394,900,315867,Gianluca Scamacca,Genua Cfc,Gianluca Scamacca Genua Cfc,8768,SCAMACCA G.,sassuolo,SCAMACCA G. sassuolo,True
395,904,358166,Eldor Shomurodov,Genua Cfc,Eldor Shomurodov Genua Cfc,10554,SHOMURODOV E,genoa,SHOMURODOV E genoa,True
397,909,525704,Nicolo Rovella,Genua Cfc,Nicolo Rovella Genua Cfc,10523,ROVELLA N.,genoa,ROVELLA N. genoa,True
399,912,88683,Mattia Destro,Genua Cfc,Mattia Destro Genua Cfc,4341,DESTRO M.,genoa,DESTRO M. genoa,True
402,918,189441,Lucas Ocampos,Genua Cfc,Lucas Ocampos Genua Cfc,8075,OCAMPOS L.,genoa,OCAMPOS L. genoa,True
406,934,43848,Miguel Veloso,Genua Cfc,Miguel Veloso Genua Cfc,4716,VELOSO M.,genoa,VELOSO M. genoa,True
407,935,45287,Adel Taarabt,Genua Cfc,Adel Taarabt Genua Cfc,6471,TAARABT A.,milan,TAARABT A. milan,True
409,942,99327,Isaac Cofie,Genua Cfc,Isaac Cofie Genua Cfc,5476,COFIE I.,chievo,COFIE I. chievo,True
410,945,130394,Gianluca Lapadula,Genua Cfc,Gianluca Lapadula Genua Cfc,7986,LAPADULA G.,milan,LAPADULA G. milan,True
411,946,158810,Oscar Hiljemark,Genua Cfc,Oscar Hiljemark Genua Cfc,7368,HILJEMARK O.,palermo,HILJEMARK O. palermo,True
412,947,160471,Petar Brlek,Genua Cfc,Petar Brlek Genua Cfc,8341,BRLEK P.,genoa,BRLEK P. genoa,True
413,948,19104,Giuseppe Rossi,Genua Cfc,Giuseppe Rossi Genua Cfc,145,DE ROSSI D.,roma,DE ROSSI D. roma,True
414,949,193830,Iuri Medeiros,Genua Cfc,Iuri Medeiros Genua Cfc,8630,MEDEIROS I.,genoa,MEDEIROS I. genoa,True
415,954,28855,Raffaele Palladino,Genua Cfc,Raffaele Palladino Genua Cfc,1853,PALLADINO R.,livorno,PALLADINO R. livorno,True
416,958,342472,Stephane Omeonga,Genua Cfc,Stephane Omeonga Genua Cfc,8671,OMEONGA S.,genoa,OMEONGA S. genoa,True
420,966,67639,Andrey Galabinov,Genua Cfc,Andrey Galabinov Genua Cfc,8490,GALABINOV A.,genoa,GALABINOV A. genoa,True
421,970,115763,Koray Gunter,Genua Cfc,Koray Gunter Genua Cfc,9086,GUNTER K.,genoa,GUNTER K. genoa,True
422,971,121756,Romulo,Genua Cfc,Romulo Genua Cfc,5227,ROMULO O.,fiorentina,ROMULO O. fiorentina,True
423,974,140757,Daniel Bessa,Genua Cfc,Daniel Bessa Genua Cfc,8318,BESSA D.,genoa,BESSA D. genoa,True
424,980,226025,Luca Mazzitelli,Genua Cfc,Luca Mazzitelli Genua Cfc,8029,MAZZITELLI L,sassuolo,MAZZITELLI L sassuolo,True
426,984,327757,Krzysztof Piatek,Genua Cfc,Krzysztof Piatek Genua Cfc,9269,PIATEK K.,genoa,PIATEK K. genoa,True
427,988,399887,Esteban Rolon,Genua Cfc,Esteban Rolon Genua Cfc,9308,ROLON E.,genoa,ROLON E. genoa,True
428,993,512344,Jandrei,Genua Cfc,Jandrei Genua Cfc,9110,JANDREI C.,genoa,JANDREI C. genoa,True
431,1000,181382,Abdoulaye Toure,Genua Cfc,Abdoulaye Toure Genua Cfc,9446,AYE F.,brescia,AYE F. brescia,True
436,1008,313830,Pablo Galdames,Genua Cfc,Pablo Galdames Genua Cfc,2928,PABLO ALVARE,catania,PABLO ALVARE catania,True
438,1012,367284,Leo Ostigard,Genua Cfc,Leo Ostigard Genua Cfc,6392,POSTIGA,lazio,POSTIGA lazio,True
440,1017,459658,Andrea Cambiaso,Genua Cfc,Andrea Cambiaso Genua Cfc,1036,CAMBIASSO,inter,CAMBIASSO inter,True
444,1033,10255,Alexander Farnerud,Fc Turin,Alexander Farnerud Fc Turin,6144,FARNERUD,torino,FARNERUD torino,True
445,1035,125314,Pontus Jansson,Fc Turin,Pontus Jansson Fc Turin,6799,JANSSON P.,torino,JANSSON P. torino,True
446,1036,131098,Salvador Ichazo,Fc Turin,Salvador Ichazo Fc Turin,6788,ICHAZO S.,torino,ICHAZO S. torino,True
447,1037,148751,Bruno Peres,Fc Turin,Bruno Peres Fc Turin,7765,BRUNO A.,pescara,BRUNO A. pescara,True
449,1039,169249,Juan Sanchez Mino,Fc Turin,Juan Sanchez Mino Fc Turin,7020,SANCHEZ MINO,torino,SANCHEZ MINO torino,True
452,1042,22149,Jean Francois Gillet,Fc Turin,Jean Francois Gillet Fc Turin,3849,GILLET,bari,GILLET bari,True
456,1047,27807,Daniele Padelli,Fc Turin,Daniele Padelli Fc Turin,4010,PADELLI D.,bari,PADELLI D. bari,True
458,1049,33042,Migjen Basha,Fc Turin,Migjen Basha Fc Turin,5374,BASHA,torino,BASHA torino,True
459,1050,42345,Giuseppe Vives,Fc Turin,Giuseppe Vives Fc Turin,3606,VIVES G.,lecce,VIVES G. lecce,True
464,1055,6234,Amauri,Fc Turin,Amauri Fc Turin,484,AMAURI,chievo,AMAURI chievo,True
465,1056,73097,Omar El Kaddouri,Fc Turin,Omar El Kaddouri Fc Turin,5541,EL KADDOURI,napoli,EL KADDOURI napoli,True
466,1057,87463,Marcelo Larrondo,Fc Turin,Marcelo Larrondo Fc Turin,3908,LARRONDO,siena,LARRONDO siena,True
468,1066,167727,Andrea Belotti,Fc Turin,Andrea Belotti Fc Turin,6563,BELOTTI A.,palermo,BELOTTI A. palermo,True
469,1068,189452,Gaston Silva,Fc Turin,Gaston Silva Fc Turin,6739,GASTON SILVA,torino,GASTON SILVA torino,True
471,1077,45581,Joel Obi,Fc Turin,Joel Obi Fc Turin,2815,JOELSON I.,reggina,JOELSON I. reggina,True
472,1083,164913,Soualiho Meite,Fc Turin,Soualiho Meite Fc Turin,9196,MEITE S.,torino,MEITE S. torino,True
473,1085,183031,Koffi Djidji,Fc Turin,Koffi Djidji Fc Turin,9023,DJIDJI K.,torino,DJIDJI K. torino,True
475,1088,245056,Sasa Lukic,Fc Turin,Sasa Lukic Fc Turin,8003,LUKIC S.,torino,LUKIC S. torino,True
476,1092,338425,Alex Berenguer,Fc Turin,Alex Berenguer Fc Turin,8312,BERENGUER A.,torino,BERENGUER A. torino,True
477,1094,379807,Lyanco,Fc Turin,Lyanco Fc Turin,8602,LYANCO S.,torino,LYANCO S. torino,True
478,1095,390159,Vincenzo Millico,Fc Turin,Vincenzo Millico Fc Turin,9779,MILLICO V.,torino,MILLICO V. torino,True
480,1097,516716,Bremer,Fc Turin,Bremer Fc Turin,8929,BREMER G.,torino,BREMER G. torino,True
484,1103,96828,Simone Zaza,Fc Turin,Simone Zaza Fc Turin,3619,ZAZA S.,atalanta,ZAZA S. atalanta,True
486,1115,293210,Amer Gojak,Fc Turin,Amer Gojak Fc Turin,10240,GOJAK A.,torino,GOJAK A. torino,True
488,1118,336125,Mergim Vojvoda,Fc Turin,Mergim Vojvoda Fc Turin,10627,VOJVODA M.,torino,VOJVODA M. torino,True
489,1120,386446,Alessandro Buongiorno,Fc Turin,Alessandro Buongiorno Fc Turin,10079,BUONGIORNO A,torino,BUONGIORNO A torino,True
494,1145,255473,Samuel Gustafson,Fc Turin,Samuel Gustafson Fc Turin,7924,GUSTAFSON S.,torino,GUSTAFSON S. torino,True
496,1149,40204,Joe Hart,Fc Turin,Joe Hart Fc Turin,7931,HART J.,torino,HART J. torino,True
497,1156,69374,Adem Ljajic,Fc Turin,Adem Ljajic Fc Turin,3917,LJAJIC A.,fiorentina,LJAJIC A. fiorentina,True
499,1158,84903,Mirko Valdifiori,Fc Turin,Mirko Valdifiori Fc Turin,7077,VALDIFIORI M,empoli,VALDIFIORI M empoli,True
500,1165,247377,Kevin Bonifazi,Fc Turin,Kevin Bonifazi Fc Turin,8332,BONIFAZI K.,torino,BONIFAZI K. torino,True
501,1188,238981,Vittorio Parigini,Fc Turin,Vittorio Parigini Fc Turin,8091,PARIGINI V.,chievo,PARIGINI V. chievo,True
504,1231,392538,Tommaso Pobega,Fc Turin,Tommaso Pobega Fc Turin,10476,POBEGA T.,spezia,POBEGA T. spezia,True
507,1235,544149,David Zima,Fc Turin,David Zima Fc Turin,8254,ZIMA L.,genoa,ZIMA L. genoa,True
510,1249,185593,Nicolas Lopez,Hellas Verona,Nicolas Lopez Hellas Verona,5719,NICOLAS LOPE,roma,NICOLAS LOPE roma,True
513,1252,22673,Emil Hallfreesson,Hellas Verona,Emil Hallfreesson Hellas Verona,7927,HALLFREDSSON,udinese,HALLFREDSSON udinese,True
514,1253,244192,Pierluigi Gollini,Hellas Verona,Pierluigi Gollini Hellas Verona,6754,GOLLINI P.,verona,GOLLINI P. verona,True
516,1255,29311,Mounir Obbadi,Hellas Verona,Mounir Obbadi Hellas Verona,6926,OBBADI,verona,OBBADI verona,True
519,1259,38824,Davide Brivio,Hellas Verona,Davide Brivio Hellas Verona,2093,BRIVIO D.,fiorentina,BRIVIO D. fiorentina,True
521,1261,45717,Nene,Hellas Verona,Nene Hellas Verona,3998,NENE',cagliari,NENE' cagliari,True
524,1264,5980,Luca Toni,Hellas Verona,Luca Toni Hellas Verona,436,TONI,brescia,TONI brescia,True
525,1266,73048,Ivan Martic,Hellas Verona,Ivan Martic Hellas Verona,6868,MARTIC,verona,MARTIC verona,True
526,1267,7611,Javier Saviola,Hellas Verona,Javier Saviola Hellas Verona,7030,SAVIOLA,verona,SAVIOLA verona,True
527,1268,76902,Fernandinho,Hellas Verona,Fernandinho Hellas Verona,6723,FERNANDINHO,verona,FERNANDINHO verona,True
528,1270,91716,Frederik Sorensen,Hellas Verona,Frederik Sorensen Hellas Verona,4685,SORENSEN,juventus,SORENSEN juventus,True
531,1276,160986,Matteo Bianchetti,Hellas Verona,Matteo Bianchetti Hellas Verona,6007,BIANCHETTI M,verona,BIANCHETTI M verona,True
533,1279,187587,Ante Rebic,Hellas Verona,Ante Rebic Hellas Verona,6406,REBIC A.,fiorentina,REBIC A. fiorentina,True
534,1280,19447,Giampaolo Pazzini,Hellas Verona,Giampaolo Pazzini Hellas Verona,1338,PAZZINI G.,atalanta,PAZZINI G. atalanta,True
535,1282,198067,Filip Helander,Hellas Verona,Filip Helander Hellas Verona,7362,HELANDER F.,verona,HELANDER F. verona,True
536,1283,20586,Urby Emanuelson,Hellas Verona,Urby Emanuelson Hellas Verona,4363,EMANUELSON,milan,EMANUELSON milan,True
537,1286,255744,Samir,Hellas Verona,Samir Hellas Verona,7602,SAMIR,verona,SAMIR verona,True
539,1294,5974,Matuzalem,Hellas Verona,Matuzalem Hellas Verona,291,MATUZALEM,brescia,MATUZALEM brescia,True
540,1296,60599,Samuel Souprayen,Hellas Verona,Samuel Souprayen Hellas Verona,7619,SOUPRAYEN S.,verona,SOUPRAYEN S. verona,True
541,1298,86079,Luca Siligardi,Hellas Verona,Luca Siligardi Hellas Verona,4676,SILIGARDI L.,bologna,SILIGARDI L. bologna,True
544,1306,169179,Alan Empereur,Hellas Verona,Alan Empereur Hellas Verona,9612,EMPEREUR A.,verona,EMPEREUR A. verona,True
545,1307,193867,Liam Henderson,Hellas Verona,Liam Henderson Hellas Verona,9658,HENDERSON L.,verona,HENDERSON L. verona,True
546,1309,198116,Federico Dimarco,Hellas Verona,Federico Dimarco Hellas Verona,7846,DIMARCO F.,empoli,DIMARCO F. empoli,True
548,1311,210363,Mariusz Stepinski,Hellas Verona,Mariusz Stepinski Hellas Verona,8793,STEPINSKI M.,chievo,STEPINSKI M. chievo,True
549,1312,248732,Pawel Dawidowicz,Hellas Verona,Pawel Dawidowicz Hellas Verona,9565,DAWIDOWICZ P,verona,DAWIDOWICZ P verona,True
550,1316,287579,Sofyan Amrabat,Hellas Verona,Sofyan Amrabat Hellas Verona,9434,AMRABAT S.,verona,AMRABAT S. verona,True
551,1317,319171,Andrea Danzi,Hellas Verona,Andrea Danzi Hellas Verona,8421,DANZI A.,verona,DANZI A. verona,True
553,1319,337716,Claud Adjapong,Hellas Verona,Claud Adjapong Hellas Verona,7688,ADJAPONG C.,sassuolo,ADJAPONG C. sassuolo,True
554,1320,371371,Marash Kumbulla,Hellas Verona,Marash Kumbulla Hellas Verona,9705,KUMBULLA M.,verona,KUMBULLA M. verona,True
559,1328,73926,Davide Faraoni,Hellas Verona,Davide Faraoni Hellas Verona,4944,FARAONI D.,inter,FARAONI D. inter,True
561,1330,96754,Fabio Borini,Hellas Verona,Fabio Borini Hellas Verona,4818,BORINI F.,roma,BORINI F. roma,True
564,1335,157507,Adrien Tameze,Hellas Verona,Adrien Tameze Hellas Verona,9944,TAMEZE A.,atalanta,TAMEZE A. atalanta,True
565,1336,163639,Federico Ceccherini,Hellas Verona,Federico Ceccherini Hellas Verona,6065,CECCHERINI F,livorno,CECCHERINI F livorno,True
567,1343,290032,Kevin Ruegg,Hellas Verona,Kevin Ruegg Hellas Verona,10525,RUEGG K.,verona,RUEGG K. verona,True
570,1347,371013,Ivor Pandur,Hellas Verona,Ivor Pandur Hellas Verona,10439,PANDUR I.,verona,PANDUR I. verona,True
571,1348,391498,Mert Cetin,Hellas Verona,Mert Cetin Hellas Verona,9529,CETIN M.,roma,CETIN M. roma,True
574,1359,109598,Thomas Heurtaux,Hellas Verona,Thomas Heurtaux Hellas Verona,6777,HEURTAUX T.,udinese,HEURTAUX T. udinese,True
575,1360,110931,Marco Fossati,Hellas Verona,Marco Fossati Hellas Verona,8485,FOSSATI M.,verona,FOSSATI M. verona,True
577,1363,136091,Simone Calvano,Hellas Verona,Simone Calvano Hellas Verona,8358,CALVANO S.,verona,CALVANO S. verona,True
579,1367,167741,Mattia Valoti,Hellas Verona,Mattia Valoti Hellas Verona,7079,VALOTI M.,verona,VALOTI M. verona,True
580,1370,21748,Alessio Cerci,Hellas Verona,Alessio Cerci Hellas Verona,3205,CERCI A.,atalanta,CERCI A. atalanta,True
581,1371,239570,Deian Boldor,Hellas Verona,Deian Boldor Hellas Verona,8329,BOLDOR D.,verona,BOLDOR D. verona,True
587,1379,297731,Enrico Bearzotti,Hellas Verona,Enrico Bearzotti Hellas Verona,8302,BEARZOTTI E.,verona,BEARZOTTI E. verona,True
589,1382,46894,Jagos Vukovic,Hellas Verona,Jagos Vukovic Hellas Verona,8845,VUKOVIC J.,verona,VUKOVIC J. verona,True
590,1385,62713,Ryder Matos,Hellas Verona,Ryder Matos Hellas Verona,6287,MATOS R.,fiorentina,MATOS R. fiorentina,True
592,1387,74956,Marcel Buchel,Hellas Verona,Marcel Buchel Hellas Verona,7190,BUCHEL M.,empoli,BUCHEL M. empoli,True
598,1412,431698,Bosko Sutalo,Hellas Verona,Bosko Sutalo Hellas Verona,9939,SUTALO B.,atalanta,SUTALO B. atalanta,True
600,1430,104290,Alessandro Iacobucci,Parma Calcio 1913,Alessandro Iacobucci Parma Calcio 1913,6783,IACOBUCCI,parma,IACOBUCCI parma,True
601,1431,104466,Stefan Ristovski,Parma Calcio 1913,Stefan Ristovski Parma Calcio 1913,7002,RISTOVSKI,parma,RISTOVSKI parma,True
602,1432,111039,Ishak Belfodil,Parma Calcio 1913,Ishak Belfodil Parma Calcio 1913,4788,BELFODIL,bologna,BELFODIL bologna,True
603,1433,129386,Zouhair Feddal,Parma Calcio 1913,Zouhair Feddal Parma Calcio 1913,6717,FEDDAL,palermo,FEDDAL palermo,True
607,1438,216259,Lucas Souza,Parma Calcio 1913,Lucas Souza Parma Calcio 1913,6844,LUCAS SOUZA,parma,LUCAS SOUZA parma,True
609,1441,22203,Antonio Nocerino,Parma Calcio 1913,Antonio Nocerino Parma Calcio 1913,1844,NOCERINO,messina,NOCERINO messina,True
610,1442,22594,Daniele Galloppa,Parma Calcio 1913,Daniele Galloppa Parma Calcio 1913,2245,GALLOPPA,ascoli,GALLOPPA ascoli,True
611,1443,239941,Lukas Haraslin,Parma Calcio 1913,Lukas Haraslin Parma Calcio 1913,6773,HARASLIN L.,parma,HARASLIN L. parma,True
613,1445,28020,Massimo Gobbi,Parma Calcio 1913,Massimo Gobbi Parma Calcio 1913,1190,GOBBI M.,cagliari,GOBBI M. cagliari,True
621,1454,44709,Paolo De Ceglie,Parma Calcio 1913,Paolo De Ceglie Parma Calcio 1913,2701,DE CEGLIE P.,siena,DE CEGLIE P. siena,True
623,1456,56817,Fabiano Santacroce,Parma Calcio 1913,Fabiano Santacroce Parma Calcio 1913,3005,SANTACROCE,napoli,SANTACROCE napoli,True
625,1459,66280,Cristobal Jorquera,Parma Calcio 1913,Cristobal Jorquera Parma Calcio 1913,5023,JORQUERA,genoa,JORQUERA genoa,True
626,1460,72857,Pedro Mendes,Parma Calcio 1913,Pedro Mendes Parma Calcio 1913,6363,PEDRO MENDES,parma,PEDRO MENDES parma,True
628,1462,90118,Soufiane Bidaoui,Parma Calcio 1913,Soufiane Bidaoui Parma Calcio 1913,6577,BIDAOUI,parma,BIDAOUI parma,True
629,1463,131109,Gaston Brugman,Parma Calcio 1913,Gaston Brugman Parma Calcio 1913,7188,BRUGMAN G.,palermo,BRUGMAN G. palermo,True
630,1465,159337,Roberto Inglese,Parma Calcio 1913,Roberto Inglese Parma Calcio 1913,7377,INGLESE R.,chievo,INGLESE R. chievo,True
631,1466,163647,Kastriot Dermaku,Parma Calcio 1913,Kastriot Dermaku Parma Calcio 1913,9580,DERMAKU K.,parma,DERMAKU K. parma,True
632,1469,199274,Mattia Sprocati,Parma Calcio 1913,Mattia Sprocati Parma Calcio 1913,9358,SPROCATI M.,parma,SPROCATI M. parma,True
633,1470,203412,Andreas Cornelius,Parma Calcio 1913,Andreas Cornelius Parma Calcio 1913,8399,CORNELIUS A.,atalanta,CORNELIUS A. atalanta,True
635,1472,324804,Yann Karamoh,Parma Calcio 1913,Yann Karamoh Parma Calcio 1913,8554,KARAMOH Y.,inter,KARAMOH Y. inter,True
636,1473,33481,Gervinho,Parma Calcio 1913,Gervinho Parma Calcio 1913,6173,GERVINHO,roma,GERVINHO roma,True
639,1476,431755,Dejan Kulusevski,Parma Calcio 1913,Dejan Kulusevski Parma Calcio 1913,9137,KULUSEVSKI D,atalanta,KULUSEVSKI D atalanta,True
641,1481,85208,Matteo Scozzarella,Parma Calcio 1913,Matteo Scozzarella Parma Calcio 1913,5848,SCOZZARELLA,atalanta,SCOZZARELLA atalanta,True
642,1482,85825,Jasmin Kurtic,Parma Calcio 1913,Jasmin Kurtic Parma Calcio 1913,4459,KURTIC J.,palermo,KURTIC J. palermo,True
643,1484,94936,Vincent Laurini,Parma Calcio 1913,Vincent Laurini Parma Calcio 1913,6823,LAURINI V.,empoli,LAURINI V. empoli,True
645,1493,182889,Wylan Cyprien,Parma Calcio 1913,Wylan Cyprien Parma Calcio 1913,10138,CYPRIEN W.,parma,CYPRIEN W. parma,True
647,1501,358165,Yordan Osorio,Parma Calcio 1913,Yordan Osorio Parma Calcio 1913,10428,OSORIO Y.,parma,OSORIO Y. parma,True
649,1504,435648,Joshua Zirkzee,Parma Calcio 1913,Joshua Zirkzee Parma Calcio 1913,10648,ZIRKZEE J.,parma,ZIRKZEE J. parma,True
650,1505,466268,Juan Brunetta,Parma Calcio 1913,Juan Brunetta Parma Calcio 1913,10077,BRUNETTA J.,parma,BRUNETTA J. parma,True
651,1506,507486,Simon Sohm,Parma Calcio 1913,Simon Sohm Parma Calcio 1913,10568,SOHM S.,parma,SOHM S. parma,True
655,1518,159902,Amato Ciciretti,Parma Calcio 1913,Amato Ciciretti Parma Calcio 1913,8387,CICIRETTI A.,benevento,CICIRETTI A. benevento,True
658,1521,171159,Leo Stulac,Parma Calcio 1913,Leo Stulac Parma Calcio 1913,9365,STULAC L.,parma,STULAC L. parma,True
660,1531,320263,Abdou Diakhate,Parma Calcio 1913,Abdou Diakhate Parma Calcio 1913,7842,DIAKHATE A.,fiorentina,DIAKHATE A. fiorentina,True
661,1533,337670,Alessio Da Cruz,Parma Calcio 1913,Alessio Da Cruz Parma Calcio 1913,8989,DA CRUZ A.,parma,DA CRUZ A. parma,True
662,1534,35743,Fabio Ceravolo,Parma Calcio 1913,Fabio Ceravolo Parma Calcio 1913,1595,CERAVOLO F.,reggina,CERAVOLO F. reggina,True
663,1535,371436,Francisco Sierralta,Parma Calcio 1913,Francisco Sierralta Parma Calcio 1913,9341,SIERRALTA F.,parma,SIERRALTA F. parma,True
664,1537,43217,Pierluigi Frattali,Parma Calcio 1913,Pierluigi Frattali Parma Calcio 1913,9059,FRATTALI P.,parma,FRATTALI P. parma,True
668,1554,170838,Salih Ucan,As Rom,Salih Ucan As Rom,7074,UCAN,roma,UCAN roma,True
669,1555,18301,Maicon,As Rom,Maicon As Rom,2321,MAICON,inter,MAICON inter,True
670,1556,21876,Federico Balzaretti,As Rom,Federico Balzaretti As Rom,30,BALZARETTI,torino,BALZARETTI torino,True
672,1559,24977,Vasilios Torosidis,As Rom,Vasilios Torosidis As Rom,5894,TOROSIDIS V.,roma,TOROSIDIS V. roma,True
676,1566,44162,Miralem Pjanic,As Rom,Miralem Pjanic As Rom,5198,PJANIC M.,roma,PJANIC M. roma,True
678,1570,57480,Mapou Yanga Mbiwa,As Rom,Mapou Yanga Mbiwa As Rom,7099,YANGA MBIWA,roma,YANGA MBIWA roma,True
679,1571,5880,Morgan De Sanctis,As Rom,Morgan De Sanctis As Rom,146,DE SANCTIS,udinese,DE SANCTIS udinese,True
680,1572,5947,Daniele De Rossi,As Rom,Daniele De Rossi As Rom,145,DE ROSSI D.,roma,DE ROSSI D. roma,True
682,1577,87210,Davide Astori,As Rom,Davide Astori As Rom,3128,ASTORI D.,cagliari,ASTORI D. cagliari,True
686,1584,205054,Norbert Gyomber,As Rom,Norbert Gyomber As Rom,6191,GYOMBER N.,catania,GYOMBER N. catania,True
687,1586,28396,Edin Dzeko,As Rom,Edin Dzeko As Rom,7288,DZEKO E.,roma,DZEKO E. roma,True
689,1589,337715,Umar Sadiq,As Rom,Umar Sadiq As Rom,7598,SADIQ U.,roma,SADIQ U. roma,True
690,1591,44058,Wojciech Szczesny,As Rom,Wojciech Szczesny As Rom,7632,SZCZESNY W.,roma,SZCZESNY W. roma,True
691,1593,47893,William Vainqueur,As Rom,William Vainqueur As Rom,7650,VAINQUEUR W.,roma,VAINQUEUR W. roma,True
692,1603,86202,Antonio Rudiger,As Rom,Antonio Rudiger As Rom,7594,RUDIGER A.,roma,RUDIGER A. roma,True
693,1604,94529,Stephan El Shaarawy,As Rom,Stephan El Shaarawy As Rom,3812,EL SHAARAWY,genoa,EL SHAARAWY genoa,True
694,1608,103427,Chris Smalling,As Rom,Chris Smalling As Rom,9926,SMALLING C.,roma,SMALLING C. roma,True
696,1613,164771,Jordan Veretout,As Rom,Jordan Veretout As Rom,8834,VERETOUT J.,fiorentina,VERETOUT J. fiorentina,True
699,1618,282810,Carles Perez,As Rom,Carles Perez As Rom,6959,PEREZ,torino,PEREZ torino,True
701,1622,330659,Justin Kluivert,As Rom,Justin Kluivert As Rom,9128,KLUIVERT J.,roma,KLUIVERT J. roma,True
702,1623,341647,Cengiz Under,As Rom,Cengiz Under As Rom,8822,UNDER C.,roma,UNDER C. roma,True
703,1627,392085,Nicolo Zaniolo,As Rom,Nicolo Zaniolo As Rom,9415,ZANIOLO N.,roma,ZANIOLO N. roma,True
705,1629,45314,Federico Fazio,As Rom,Federico Fazio As Rom,7876,FAZIO F.,roma,FAZIO F. roma,True
706,1630,46156,Aleksandar Kolarov,As Rom,Aleksandar Kolarov As Rom,2827,KOLAROV A.,lazio,KOLAROV A. lazio,True
707,1631,524481,Roger Ibanez,As Rom,Roger Ibanez As Rom,9666,IBANEZ,roma,IBANEZ roma,True
708,1633,55215,Javier Pastore,As Rom,Javier Pastore As Rom,4026,PASTORE J.,palermo,PASTORE J. palermo,True
709,1634,55735,Henrikh Mkhitaryan,As Rom,Henrikh Mkhitaryan As Rom,9782,MKHITARYAN H,roma,MKHITARYAN H roma,True
711,1641,205006,Rick Karsdorp,As Rom,Rick Karsdorp As Rom,8555,KARSDORP R.,roma,KARSDORP R. roma,True
712,1648,298976,Borja Mayoral,As Rom,Borja Mayoral As Rom,10378,MAYORAL B.,roma,MAYORAL B. roma,True
714,1653,475208,Bryan Reynolds,As Rom,Bryan Reynolds As Rom,10504,REYNOLDS B.,roma,REYNOLDS B. roma,True
715,1666,15904,Thomas Vermaelen,As Rom,Thomas Vermaelen As Rom,8232,VERMAELEN T.,roma,VERMAELEN T. roma,True
716,1676,72479,Clement Grenier,As Rom,Clement Grenier As Rom,7923,GRENIER C.,roma,GRENIER C. roma,True
717,1681,105470,Alisson,As Rom,Alisson As Rom,8267,ALISSON R.,roma,ALISSON R. roma,True
719,1697,60542,Maxime Gonalons,As Rom,Maxime Gonalons As Rom,8510,GONALONS M.,roma,GONALONS M. roma,True
720,1716,57723,Ivan Marcano,As Rom,Ivan Marcano As Rom,9180,MARCANO I.,roma,MARCANO I. roma,True
722,1723,112465,Sergio Oliveira,As Rom,Sergio Oliveira As Rom,2389,OLIVEIRA Ric,milan,OLIVEIRA Ric milan,True
725,1736,439072,Matias Vina,As Rom,Matias Vina As Rom,1234,LEQUI Matias,lazio,LEQUI Matias lazio,True
727,1738,502821,Riccardo Calafiori,As Rom,Riccardo Calafiori As Rom,10085,CALAFIORI R.,roma,CALAFIORI R. roma,True
728,1740,550108,Nicola Zalewski,As Rom,Nicola Zalewski As Rom,10639,ZALEWSKI N.,roma,ZALEWSKI N. roma,True
729,1742,562049,Edoardo Bove,As Rom,Edoardo Bove As Rom,2465,SARDO G.,catania,SARDO G. catania,True
734,1756,124902,Khouma Babacar,Ac Florenz,Khouma Babacar Ac Florenz,3661,BABACAR K.,fiorentina,BABACAR K. fiorentina,True
735,1758,171307,Joshua Brillante,Ac Florenz,Joshua Brillante Ac Florenz,6599,BRILLANTE,empoli,BRILLANTE empoli,True
736,1759,197300,Federico Bernardeschi,Ac Florenz,Federico Bernardeschi Ac Florenz,6571,BERNARDESCHI,fiorentina,BERNARDESCHI fiorentina,True
