,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
104,236,99923,Simone Benedetti,Cagliari Calcio,Simone Benedetti Cagliari Calcio,6565,BENEDETTI,cagliari,BENEDETTI cagliari,True
105,237,101922,Fabio Pisacane,Cagliari Calcio,Fabio Pisacane Cagliari Calcio,8120,PISACANE F.,cagliari,PISACANE F. cagliari,True
107,242,136514,Charalampos Lykogiannis,Cagliari Calcio,Charalampos Lykogiannis Cagliari Calcio,8603,LYKOGIANNIS,cagliari,LYKOGIANNIS cagliari,True
108,243,167796,Paolo Farago,Cagliari Calcio,Paolo Farago Cagliari Calcio,7873,FARAGO' P.,cagliari,FARAGO' P. cagliari,True
109,244,200194,Federico Mattiello,Cagliari Calcio,Federico Mattiello Cagliari Calcio,6874,MATTIELLO F.,chievo,MATTIELLO F. chievo,True
110,245,26105,Valter Birsa,Cagliari Calcio,Valter Birsa Cagliari Calcio,4805,BIRSA V.,genoa,BIRSA V. genoa,True
112,247,26669,Ragnar Klavan,Cagliari Calcio,Ragnar Klavan Cagliari Calcio,9127,KLAVAN R.,cagliari,KLAVAN R. cagliari,True
117,252,33218,Luca Cigarini,Cagliari Calcio,Luca Cigarini Cagliari Calcio,1607,CIGARINI L.,parma,CIGARINI L. parma,True
118,253,345458,Sebastian Walukiewicz,Cagliari Calcio,Sebastian Walukiewicz Cagliari Calcio,9990,WALUKIEWICZ,cagliari,WALUKIEWICZ cagliari,True
121,256,41982,Radja Nainggolan,Cagliari Calcio,Radja Nainggolan Cagliari Calcio,3996,NAINGGOLAN R,cagliari,NAINGGOLAN R cagliari,True
123,258,563812,Christian Oliva,Cagliari Calcio,Christian Oliva Cagliari Calcio,6637,CHRISTIANSEN,chievo,CHRISTIANSEN chievo,True
124,259,66360,Daniele Ragatzu,Cagliari Calcio,Daniele Ragatzu Cagliari Calcio,3512,RAGATZU D.,cagliari,RAGATZU D. cagliari,True
127,262,85605,Fabrizio Cacciatore,Cagliari Calcio,Fabrizio Cacciatore Cagliari Calcio,3717,CACCIATORE F,sampdoria,CACCIATORE F sampdoria,True
129,268,162959,Daniele Rugani,Cagliari Calcio,Daniele Rugani Cagliari Calcio,7016,RUGANI D.,empoli,RUGANI D. empoli,True
130,270,184894,Alfred Duncan,Cagliari Calcio,Alfred Duncan Cagliari Calcio,6129,DUNCAN A.,livorno,DUNCAN A. livorno,True
131,271,197751,Alberto Cerri,Cagliari Calcio,Alberto Cerri Cagliari Calcio,5,ALBERTO D.,udinese,ALBERTO D. udinese,True
135,282,357176,Alessandro Tripaldelli,Cagliari Calcio,Alessandro Tripaldelli Cagliari Calcio,9962,TRIPALDELLI,sassuolo,TRIPALDELLI sassuolo,True
144,297,13121,Bruno Alves,Cagliari Calcio,Bruno Alves Cagliari Calcio,7765,BRUNO A.,pescara,BRUNO A. pescara,True
145,298,163062,Luca Bittante,Cagliari Calcio,Luca Bittante Cagliari Calcio,7169,BITTANTE L.,empoli,BITTANTE L. empoli,True
146,302,190634,Marko Pajac,Cagliari Calcio,Marko Pajac Cagliari Calcio,9238,PAJAC M.,cagliari,PAJAC M. cagliari,True
147,303,19136,Marco Storari,Cagliari Calcio,Marco Storari Cagliari Calcio,1413,STORARI M.,messina,STORARI M. messina,True
148,304,22598,Gianni Munari,Cagliari Calcio,Gianni Munari Cagliari Calcio,3451,MUNARI G.,lecce,MUNARI G. lecce,True
149,307,265077,Luca Crosta,Cagliari Calcio,Luca Crosta Cagliari Calcio,8411,CROSTA L.,cagliari,CROSTA L. cagliari,True
151,310,43722,Mauricio Isla,Cagliari Calcio,Mauricio Isla Cagliari Calcio,6878,MAURICIO,lazio,MAURICIO lazio,True
152,311,46060,Federico Melchiorri,Cagliari Calcio,Federico Melchiorri Cagliari Calcio,8034,MELCHIORRI F,cagliari,MELCHIORRI F cagliari,True
153,312,52136,Davide Di Gennaro,Cagliari Calcio,Davide Di Gennaro Cagliari Calcio,2192,DI GENNARO D,milan,DI GENNARO D milan,True
155,315,5825,Marco Borriello,Cagliari Calcio,Marco Borriello Cagliari Calcio,62,BORRIELLO M.,empoli,BORRIELLO M. empoli,True
156,316,62415,Panagiotis Tachtsidis,Cagliari Calcio,Panagiotis Tachtsidis Cagliari Calcio,5880,TACHTSIDIS P,roma,TACHTSIDIS P roma,True
157,317,71019,Bartosz Salamon,Cagliari Calcio,Bartosz Salamon Cagliari Calcio,6434,SALAMON B.,sampdoria,SALAMON B. sampdoria,True
158,318,79242,Gabriel,Cagliari Calcio,Gabriel Cagliari Calcio,6162,GABRIEL V.,milan,GABRIEL V. milan,True
160,331,249552,Senna Miangue,Cagliari Calcio,Senna Miangue Cagliari Calcio,8039,MIANGUE S.,cagliari,MIANGUE S. cagliari,True
